ID.x;latitude;longitude;study;site;treatment.direction;treat.duration.y;duration_rescale;size.local;size.gamma;N.replicates;delta.P.year;delta.P1_rescale;MAP_chelsa;MAP_rescale;PET_rescale;PET_chelsa;LRR_gammaSn;LRR_gammaSPie;monocarp;polycarp;gr_mono
Alon_2019.csv;31.711849;35.062945;Alon_2019;Matta.LTER;decr.P;1;-0.411967875;0.04;0.2;5;-66;-0.979676553;611;0.143804773;0.77063076;1299.103886;-0.212548845;0.033815436;1;0;M
Baez_2013a.csv;34.33333333;-106.96667;Baez_2013;C;decr.P;3;-0.286792881;1;3;3;-50;-0.749000376;253;-0.319195674;0.815496731;1333.086163;-0.036706713;0.006214742;0;1;P
Baez_2013b.csv;34.33333333;-106.96667;Baez_2013;C;incr.P;3;-0.286792881;1;3;3;42;0.577387648;253;-0.319195674;0.815496731;1333.086163;0.178422546;-0.006860444;0;1;P
Baez_2013c.csv;34.33333333;-106.96667;Baez_2013;G;decr.P;3;-0.286792881;1;3;3;-50;-0.749000376;253;-0.319195674;0.815496731;1333.086163;-0.550647118;0.111127449;NA;NA;NA
Baez_2013d.csv;34.33333333;-106.96667;Baez_2013;G;incr.P;3;-0.286792881;1;3;3;42;0.577387648;253;-0.319195674;0.815496731;1333.086163;0.301562421;-0.052840668;NA;NA;NA
Baez_2013e.csv;34.33333333;-106.96667;Baez_2013;M;decr.P;3;-0.286792881;1;3;3;-50;-0.749000376;253;-0.319195674;0.815496731;1333.086163;0.078374797;0.034326315;0;1;P
Baez_2013f.csv;34.33333333;-106.96667;Baez_2013;M;incr.P;3;-0.286792881;1;3;3;42;0.577387648;253;-0.319195674;0.815496731;1333.086163;-0.163325056;0.026765003;0;1;P
Chimner_2010a.csv;41;-104;Chimner_2010;HPGRS;incr.P;2;-0.349380378;1;3;3;23.13624679;0.305423992;361;-0.179519561;0.464764795;1067.43561;0.110694398;-0.027206909;0;1;P
Chimner_2010b.csv;41;-104;Chimner_2010;HPGRS;incr.P;2;-0.349380378;1;3;3;34.96143959;0.475910885;361;-0.179519561;0.464764795;1067.43561;0.237141143;-0.051404336;0;1;P
Chimner_2010c.csv;41;-104;Chimner_2010;HPGRS;incr.P;2;-0.349380378;1;3;3;59.47368421;0.829310316;361;-0.179519561;0.464764795;1067.43561;0.337493166;-0.050508706;0;1;P
Collins_2017.csv;34.33333333;-106.71667;Collins_2017;SNWR;incr.P;10;0.151319597;1;5;5;20;0.260207903;291;-0.270050375;0.791405307;1314.838894;0.085909101;0.000711687;0;1;P
Eskelinen_2015a.csv;38.86666667;-122.4333333;Eskelinen_2015;Harshserp;incr.P;4;-0.224205384;1;3;3;18;0.231373381;872;0.481355378;0.582965474;1156.962889;0.093885533;-0.174514787;1;0;M
Eskelinen_2015b.csv;38.86666667;-122.4333333;Eskelinen_2015;Lushserp;incr.P;4;-0.224205384;1;3;3;18;0.231373381;872;0.481355378;0.582965474;1156.962889;-0.126031468;0.036523815;1;0;M
Eskelinen_2015c.csv;38.86666667;-122.4333333;Eskelinen_2015;Nonserp;incr.P;4;-0.224205384;1;3;3;18;0.231373381;872;0.481355378;0.582965474;1156.962889;-0.016249951;0.046001232;1;0;M
Fry_2014a.csv;51.406371;-0.648648;Fry_2014;Silwood.Park;decr.P;2;-0.349380378;1;4;4;6.986100951;0.072583122;640;0.181310396;-0.06019975;669.8182058;-0.037494204;-0.028276037;0;1;P
Fry_2014b.csv;51.406371;-0.648648;Fry_2014;Silwood.Park;decr.P;2;-0.349380378;1;4;4;-4.271708683;-0.089723659;640;0.181310396;-0.06019975;669.8182058;0.034271267;-0.003099003;0;1;P
Gilgen_2009a.csv;47.21027778;8.14389;Gilgen_2009;Chamau;decr.P;2;-0.349380378;0.2;1;5;33;0.447632298;1522;1.321998648;0.057321949;758.831213;-0.211993322;0.049848049;0;1;P
Gilgen_2009b.csv;47.11583333;8.13778;Gilgen_2009;Fruebuel;decr.P;2;-0.349380378;0.2;1.2;6;36;0.490884081;1574;1.389250109;0.072994751;770.7020702;0.06691916;-0.061685921;0;1;P
Grime_2008a.csv;53.23333333;-1.9;Grime_2008;Buxton;decr.P;16;0.526844579;2.5;12.5;5;-10.53846154;-0.180073071;1001;0.648190735;-0.163801484;591.3484254;-0.190996953;0.010419233;0;1;P
Grime_2008b.csv;53.23333333;-1.9;Grime_2008;Buxton;incr.P;16;0.526844579;2.5;12.5;5;7.384615385;0.078328609;1001;0.648190735;-0.163801484;591.3484254;-0.015782641;0.010826069;0;1;P
Hallett_2017a.csv;39.25;-121.28333;Hallett_2017;SFREC;decr.P;2;-0.349380378;0.25;2;8;-45.20547945;-0.679876521;1034;0.690869547;0.834311208;1347.33658;0.13021464;-0.162560152;1;0;M
Hallett_2017a.csv;39.25;-121.28333;Hallett_2017;SFREC;decr.P;2;-0.349380378;0.25;2;8;-45.20547945;-0.679876521;1034;0.690869547;0.834311208;1347.33658;0.129889422;-0.229243942;1;0;M
Hallett_2017b.csv;39.25;-121.28333;Hallett_2017;SFREC;incr.P;2;-0.349380378;0.25;2;8;23.28767123;0.307607118;1034;0.690869547;0.834311208;1347.33658;-0.028987537;-0.133344823;1;0;M
Hallett_2017b.csv;39.25;-121.28333;Hallett_2017;SFREC;incr.P;2;-0.349380378;0.25;2;8;23.28767123;0.307607118;1034;0.690869547;0.834311208;1347.33658;-0.010718216;-0.138300076;1;0;M
Harpole_2007.csv;33.624;-117.755;Harpole_2007;Irvine.Ranch.Land.Reserve;incr.P;0.2;-0.462037873;0.1125;0.5625;5;30.53097345;0.412035697;285;-0.277810159;0.750479237;1283.840767;0.090696561;0.043498183;1;0;M
Holub_2013a.csv;48.81666667;16;Holub_2013;lowland;decr.P;2;-0.349380378;0.5;2;4;-50;-0.749000376;495;-0.006217718;0.088665327;782.5712404;0.126575649;-0.04287328;0;1;P
Holub_2013b.csv;48.81666667;16;Holub_2013;lowland;incr.P;2;-0.349380378;0.5;2;4;50;0.692725737;495;-0.006217718;0.088665327;782.5712404;0.025689486;-0.078439859;0;1;P
Holub_2013c.csv;49.5;18.53333333;Holub_2013;mountain;decr.P;2;-0.349380378;0.5;2;4;-50;-0.749000376;1198;0.90297031;-0.066885456;664.7543344;-0.134991538;0.013389644;0;1;P
Holub_2013d.csv;49.5;18.53333333;Holub_2013;mountain;incr.P;2;-0.349380378;0.5;2;4;50;0.692725737;1198;0.90297031;-0.066885456;664.7543344;-0.10722793;0.01041024;0;1;P
Kahmen_2005.csv;50.43861404;11.48197807;Kahmen_2005;SG;decr.P;1;-0.411967875;2;38;19;-25;-0.388568847;913;0.534380569;-0.059608987;670.2656603;-0.019298484;0.016012844;0;1;P
Lauenroth_2014.csv;40.825;-104.75;Lauenroth_2014;SGS-LTER.Field.Station;incr.P;14;0.401669585;0.25;2.5;10;95.63;1.350585362;372;-0.165293291;0.48233949;1080.746994;0.173212841;0.234097148;NA;NA;NA
Ludewig_2012a.csv;52.78333333;12.18333;Ludewig_2012;Kuhlhausen;decr.P;3;-0.286792881;0.25;1.75;7;13.75;0.170100021;537;0.04810077;-0.024750091;696.6684031;-0.030592335;-0.018992715;0;1;P
Ludewig_2012b.csv;53.31666667;10.95;Ludewig_2012;Sueckau;decr.P;3;-0.286792881;0.25;1.75;7;14.13934426;0.175713299;629;0.167084125;-0.067140897;664.5608592;0.053811385;-0.035660801;0;1;P
Mariotte_2013.csv;46.84722222;6.575;Mariotte_2013;Agroscope;decr.P;3;-0.286792881;0.25;1.25;5;-20;-0.316482542;1427;1.199135401;-0.020537477;699.8591108;0.175314911;-0.035702467;0;1;P
Miranda_2009a.csv;36.81666667;-2.25;Miranda_2009;Cabo_de_Gata;decr.P;0.5;-0.443261624;0.08;0.4;5;-25;-0.388568847;225;-0.355407999;0.308114436;948.7858658;-0.120677394;0.025617609;1;0;M
Miranda_2009a.csv;36.81666667;-2.25;Miranda_2009;Cabo_de_Gata;decr.P;0.5;-0.443261624;0.08;0.4;5;-25;-0.388568847;225;-0.355407999;0.308114436;948.7858658;0.143847949;-0.269935956;1;0;M
Miranda_2009a.csv;36.81666667;-2.25;Miranda_2009;Cabo_de_Gata;decr.P;0.5;-0.443261624;0.08;0.4;5;-25;-0.388568847;225;-0.355407999;0.308114436;948.7858658;0.091072885;0.071269268;1;0;M
Miranda_2009b.csv;36.81666667;-2.25;Miranda_2009;Cabo_de_Gata;decr.P;0.5;-0.443261624;0.08;0.4;5;-50;-0.749000376;225;-0.355407999;0.308114436;948.7858658;-0.074838059;0.156486039;1;0;M
Miranda_2009b.csv;36.81666667;-2.25;Miranda_2009;Cabo_de_Gata;decr.P;0.5;-0.443261624;0.08;0.4;5;-50;-0.749000376;225;-0.355407999;0.308114436;948.7858658;-0.189991344;-0.144544671;1;0;M
Miranda_2009b.csv;36.81666667;-2.25;Miranda_2009;Cabo_de_Gata;decr.P;0.5;-0.443261624;0.08;0.4;5;-50;-0.749000376;225;-0.355407999;0.308114436;948.7858658;0.07661403;-0.052224818;1;0;M
Miranda_2009c.csv;37;-2.43;Miranda_2009;El_Cautivo;decr.P;0.5;-0.443261624;0.08;0.4;5;-25;-0.388568847;311;-0.244184428;0.437777833;1046.995209;-0.304295873;0.053876703;1;0;M
Miranda_2009c.csv;37;-2.43;Miranda_2009;El_Cautivo;decr.P;0.5;-0.443261624;0.08;0.4;5;-25;-0.388568847;311;-0.244184428;0.437777833;1046.995209;-0.362905494;-0.000242568;1;0;M
Miranda_2009c.csv;37;-2.43;Miranda_2009;El_Cautivo;decr.P;0.5;-0.443261624;0.08;0.4;5;-25;-0.388568847;311;-0.244184428;0.437777833;1046.995209;0.216807733;-0.067842603;1;0;M
Miranda_2009d.csv;37;-2.43;Miranda_2009;El_Cautivo;decr.P;0.5;-0.443261624;0.08;0.4;5;-50;-0.749000376;311;-0.244184428;0.437777833;1046.995209;-0.016064603;-0.048455669;1;0;M
Miranda_2009d.csv;37;-2.43;Miranda_2009;El_Cautivo;decr.P;0.5;-0.443261624;0.08;0.4;5;-50;-0.749000376;311;-0.244184428;0.437777833;1046.995209;-0.535142931;-0.054314224;1;0;M
Miranda_2009e.csv;37.08333333;-2.35;Miranda_2009;Tabernas_PSA;decr.P;0.5;-0.443261624;0.08;0.4;5;-25;-0.388568847;234;-0.343768323;0.429883406;1041.015831;-0.614543322;0.244965827;1;0;M
Miranda_2009e.csv;37.08333333;-2.35;Miranda_2009;Tabernas_PSA;decr.P;0.5;-0.443261624;0.08;0.4;5;-25;-0.388568847;234;-0.343768323;0.429883406;1041.015831;0.042877024;0.006668183;1;0;M
Miranda_2009e.csv;37.08333333;-2.35;Miranda_2009;Tabernas_PSA;decr.P;0.5;-0.443261624;0.08;0.4;5;-25;-0.388568847;234;-0.343768323;0.429883406;1041.015831;-0.206491918;0.13853422;1;0;M
Miranda_2009f.csv;37.08333333;-2.35;Miranda_2009;Tabernas_PSA;decr.P;0.5;-0.443261624;0.08;0.4;5;-50;-0.749000376;234;-0.343768323;0.429883406;1041.015831;-0.478256771;0.112246778;1;0;M
Miranda_2009f.csv;37.08333333;-2.35;Miranda_2009;Tabernas_PSA;decr.P;0.5;-0.443261624;0.08;0.4;5;-50;-0.749000376;234;-0.343768323;0.429883406;1041.015831;-0.128495091;0.167247932;1;0;M
Miranda_2009f.csv;37.08333333;-2.35;Miranda_2009;Tabernas_PSA;decr.P;0.5;-0.443261624;0.08;0.4;5;-50;-0.749000376;234;-0.343768323;0.429883406;1041.015831;-0.542078167;0.252252886;1;0;M
Mueller_2016a.csv;42.83333333;-104.9;Mueller_2016;Cheyenne;incr.P;7;-0.036442894;1.5;7.5;5;30.22670025;0.407648911;419;-0.104508316;0.365315441;992.1109152;-0.004014457;-0.065330102;1;0;M
Prevey_2014a.csv;40.11666667;-105.3;Prevey_2014;Boulder;incr.P;3;-0.286792881;0.25;2.5;10;25.67647059;0.342047062;409;-0.117441289;0.453734591;1059.081139;0.152839204;-0.128233082;1;0;M
Prevey_2014b.csv;40.11666667;-105.3;Prevey_2014;Boulder;decr.P;3;-0.286792881;0.25;2.5;10;-3.838630807;-0.083479862;409;-0.117441289;0.453734591;1059.081139;-0.035776173;-0.037126322;1;0;M
Prevey_2014c.csv;40.11666667;-105.3;Prevey_2014;Boulder;incr.P;3;-0.286792881;0.25;2.5;10;40.41564792;0.55454563;409;-0.117441289;0.453734591;1059.081139;0.41853719;-0.212490633;1;0;M
Prevey_2014d.csv;40.11666667;-105.3;Prevey_2014;Boulder;incr.P;3;-0.286792881;0.25;2.5;10;3.325183374;0.019802718;409;-0.117441289;0.453734591;1059.081139;0.232331977;-0.027694222;0;1;P
Serafini_2019a.csv;44.63333333;-76.33333333;Serafini_2019;QUBS;decr.P;4;-0.224205384;0.5;5;10;-38.52631579;-0.583581274;827;0.423156998;0.093639316;786.3386278;-0.581196855;0.159441636;NA;NA;NA
Serafini_2019b.csv;44.63333333;-76.33333333;Serafini_2019;QUBS;incr.P;4;-0.224205384;0.5;5;10;21.47368421;0.281454393;827;0.423156998;0.093639316;786.3386278;0.15853054;-0.177279764;NA;NA;NA
Smith_2020.csv;39.1083;-96.6151;CEE;Konza.LTER;decr.P;3;-0.286792881;1;5;5;-35.4491018;-0.539216277;724;0.289947372;0.507541506;1099.835445;0.098920292;-0.049647591;NA;NA;NA
Wilcox_2015a.csv;41.4;-105.26667;Wilcox_2015;SGP;incr.P;2;-0.349380378;1;10;10;19.64912281;0.255149215;312;-0.242891131;0.277069091;925.271574;-0.010362787;-0.002559418;0;1;P
Wilcox_2015a.csv;41.4;-105.26667;Wilcox_2015;SGP;incr.P;2;-0.349380378;1;10;10;19.64912281;0.255149215;312;-0.242891131;0.277069091;925.271574;0.103709669;0.021366255;0;1;P
Wilcox_2015b.csv;46.51666667;-106.63333;Wilcox_2015;NMP;incr.P;2;-0.349380378;1;10;10;14.18562874;0.176380594;332;-0.217025184;0.35209322;982.0961723;0.186998607;0.082666743;0;1;P
Wilcox_2015b.csv;46.51666667;-106.63333;Wilcox_2015;NMP;incr.P;2;-0.349380378;1;10;10;14.18562874;0.176380594;332;-0.217025184;0.35209322;982.0961723;0.119613453;0.022019463;0;1;P
Wilcox_2015c.csv;39.15;-96.91667;Wilcox_2015;TGP;incr.P;2;-0.349380378;1;10;10;20.07788162;0.261330743;765;0.342972563;0.512281802;1103.425829;0.1198363;-0.084394536;0;1;P
Wilcox_2015c.csv;39.15;-96.91667;Wilcox_2015;TGP;incr.P;2;-0.349380378;1;10;10;20.07788162;0.261330743;765;0.342972563;0.512281802;1103.425829;0.085468657;-0.08669384;0;1;P
Yang_2011.csv;42.03333333;116.28333;Yang_2011;Duolun.County;incr.P;4;-0.224205384;1;6;6;31.33;0.423555472;372;-0.165293291;0.109401163;798.2769284;0.23173549;-0.073606869;0;1;P
Zhong_2019a.csv;42.033333;116.28333;Zhong_2019;Duolun.County;decr.P;3;-0.286792881;1;6;6;-17.01775457;-0.273486731;372;-0.165293291;0.109401163;798.2769284;-0.026971968;0.021078667;NA;NA;NA
Zhong_2019b.csv;42.033333;116.28333;Zhong_2019;Duolun.County;decr.P;3;-0.286792881;1;6;6;-34.03550914;-0.518836142;372;-0.165293291;0.109401163;798.2769284;-0.210373539;0.010928975;NA;NA;NA
Zhong_2019c.csv;42.033333;116.28333;Zhong_2019;Duolun.County;decr.P;3;-0.286792881;1;6;6;-51.05326371;-0.764185553;372;-0.165293291;0.109401163;798.2769284;-0.274589856;0.071370047;NA;NA;NA
Zhong_2019d.csv;42.033333;116.28333;Zhong_2019;Duolun.County;incr.P;3;-0.286792881;1;6;6;17.01775457;0.217212092;372;-0.165293291;0.109401163;798.2769284;0.029224757;0.029186705;NA;NA;NA
Zhong_2019e.csv;42.033333;116.28333;Zhong_2019;Duolun.County;incr.P;3;-0.286792881;1;6;6;34.03550914;0.462561503;372;-0.165293291;0.109401163;798.2769284;-0.017592204;0.008392607;NA;NA;NA
Zhong_2019f.csv;42.033333;116.28333;Zhong_2019;Duolun.County;incr.P;3;-0.286792881;1;6;6;51.05326371;0.707910915;372;-0.165293291;0.109401163;798.2769284;-0.004759081;-0.002149445;NA;NA;NA
